epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6364,1.88338,2.80153,1.7769,0.26622,0.31253,0.20546,0.07757,2.20951,2.83553,2.11199,0.000553578,0.000553578,0.000553578
2,52.5486,1.93681,2.34501,1.81419,0.72891,0.21015,0.21569,0.085,2.11207,2.43116,1.97359,0.00109826,0.00109826,0.00109826
3,76.6528,1.93095,2.20165,1.81255,0.29654,0.30255,0.24262,0.09569,2.11695,2.31735,2.09441,0.00163195,0.00163195,0.00163195
4,99.6705,1.90626,2.11949,1.80724,0.32723,0.32453,0.2834,0.12558,1.94469,2.40554,1.95008,0.00161749,0.00161749,0.00161749
5,122.115,1.86766,2.04713,1.76542,0.45785,0.39268,0.37097,0.15339,1.94771,1.95959,1.85707,0.00160099,0.00160099,0.00160099
6,144.922,1.83423,1.9851,1.74779,0.38133,0.39014,0.34369,0.14844,1.92256,2.0794,1.84701,0.00158448,0.00158448,0.00158448
7,167.119,1.81894,1.9308,1.72115,0.36614,0.43185,0.36315,0.1622,1.92644,2.05842,1.85671,0.00156798,0.00156798,0.00156798
8,189.738,1.80134,1.9099,1.71551,0.44213,0.43894,0.42412,0.19049,1.8552,1.89857,1.82195,0.00155148,0.00155148,0.00155148
9,212.403,1.77756,1.85114,1.68878,0.40652,0.38371,0.34235,0.14757,1.91216,2.15148,1.82276,0.00153497,0.00153497,0.00153497
10,234.839,1.76454,1.82362,1.68392,0.46304,0.46028,0.43909,0.19531,1.85082,1.77827,1.79923,0.00151847,0.00151847,0.00151847
11,258.14,1.74494,1.7914,1.67017,0.45,0.42062,0.38957,0.18175,1.86327,1.83651,1.81266,0.00150197,0.00150197,0.00150197
12,281.528,1.74081,1.76179,1.66469,0.46671,0.46152,0.45649,0.20976,1.79709,1.7443,1.73301,0.00148546,0.00148546,0.00148546
13,304.164,1.72155,1.76028,1.64894,0.50756,0.47074,0.48451,0.22046,1.78222,1.69523,1.73131,0.00146896,0.00146896,0.00146896
14,327.226,1.71983,1.72541,1.63857,0.47728,0.46261,0.46527,0.2179,1.76067,1.64621,1.71921,0.00145246,0.00145246,0.00145246
15,349.729,1.71123,1.71166,1.64836,0.56286,0.48697,0.5129,0.24257,1.7808,1.61358,1.72461,0.00143595,0.00143595,0.00143595
16,372.193,1.69509,1.66799,1.61975,0.55429,0.48635,0.50313,0.23332,1.77301,1.63123,1.71451,0.00141945,0.00141945,0.00141945
