epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2249,1.23587,1.8833,1.19282,0.96735,0.89099,0.9378,0.61081,1.20285,1.04394,1.09339,0.00332579,0.00332579,0.00332579
2,78.8779,1.22298,1.00097,1.11944,0.95362,0.89923,0.93438,0.57456,1.22831,0.81198,1.14602,0.0065932,0.0065932,0.0065932
3,115.499,1.25888,0.88575,1.15577,0.89383,0.83992,0.88568,0.56119,1.25279,1.05085,1.20178,0.00979461,0.00979461,0.00979461
4,151.279,1.28222,0.83121,1.19129,0.94158,0.86697,0.92157,0.59654,1.23647,0.77077,1.19434,0.009703,0.009703,0.009703
5,187.479,1.25605,0.76355,1.1781,0.95166,0.88801,0.93359,0.61531,1.21537,0.6895,1.17367,0.009604,0.009604,0.009604
6,223.822,1.22536,0.72208,1.16339,0.96019,0.87882,0.92442,0.60978,1.22471,0.67929,1.1768,0.009505,0.009505,0.009505
7,260.792,1.22212,0.69615,1.16186,0.93627,0.89683,0.93256,0.62833,1.17731,0.62847,1.1367,0.009406,0.009406,0.009406
8,297.475,1.2003,0.67704,1.15829,0.96914,0.90131,0.94263,0.63033,1.19968,0.61926,1.148,0.009307,0.009307,0.009307
9,333.59,1.19565,0.66901,1.14873,0.96518,0.90843,0.94183,0.62836,1.1806,0.61127,1.13602,0.009208,0.009208,0.009208
10,369.81,1.18701,0.65294,1.14018,0.9587,0.91162,0.94829,0.6327,1.17944,0.58813,1.14655,0.009109,0.009109,0.009109
11,406.542,1.18364,0.64108,1.14041,0.95931,0.91295,0.9497,0.64488,1.15738,0.56314,1.13144,0.00901,0.00901,0.00901
12,442.536,1.17189,0.63364,1.13112,0.97266,0.90979,0.9468,0.64497,1.16325,0.56623,1.13094,0.008911,0.008911,0.008911
13,478.593,1.17534,0.61641,1.12569,0.9742,0.91159,0.95098,0.65071,1.15232,0.56427,1.11931,0.008812,0.008812,0.008812
14,514.368,1.16046,0.60452,1.11863,0.97617,0.91442,0.95535,0.65368,1.15077,0.55297,1.11436,0.008713,0.008713,0.008713
15,550.193,1.16226,0.60361,1.12073,0.98117,0.91435,0.95493,0.6625,1.15012,0.53543,1.12295,0.008614,0.008614,0.008614
16,586.03,1.14932,0.58901,1.11729,0.98116,0.91617,0.95683,0.65443,1.14351,0.53784,1.1075,0.008515,0.008515,0.008515
17,621.609,1.13936,0.57959,1.10996,0.9715,0.91637,0.95331,0.65855,1.13405,0.54796,1.11676,0.008416,0.008416,0.008416
18,657.209,1.14263,0.58797,1.11656,0.97972,0.91891,0.95828,0.66246,1.13033,0.54281,1.10734,0.008317,0.008317,0.008317
19,692.87,1.14112,0.5836,1.10348,0.98024,0.92644,0.9623,0.66347,1.13515,0.51747,1.10419,0.008218,0.008218,0.008218
20,728.346,1.12926,0.56936,1.1017,0.97792,0.92665,0.9602,0.67107,1.11082,0.50592,1.1034,0.008119,0.008119,0.008119
21,763.218,1.12507,0.56669,1.10143,0.97277,0.92756,0.96285,0.67268,1.12433,0.49806,1.09039,0.00802,0.00802,0.00802
22,797.665,1.12607,0.55662,1.09868,0.97714,0.92027,0.95873,0.66612,1.1251,0.52071,1.10183,0.007921,0.007921,0.007921
23,832.343,1.12121,0.55828,1.09723,0.98261,0.92653,0.96066,0.66866,1.12003,0.50102,1.09505,0.007822,0.007822,0.007822
24,867.032,1.11252,0.55301,1.09172,0.98492,0.92262,0.96285,0.67051,1.12241,0.50032,1.10076,0.007723,0.007723,0.007723
25,901.537,1.11583,0.55264,1.09691,0.98024,0.92665,0.95727,0.66227,1.13999,0.49798,1.09869,0.007624,0.007624,0.007624
26,936.083,1.11664,0.54952,1.09939,0.9776,0.93166,0.96366,0.67117,1.1087,0.49079,1.09204,0.007525,0.007525,0.007525
27,970.47,1.10477,0.53775,1.08785,0.98171,0.92947,0.96181,0.67764,1.11087,0.48319,1.09068,0.007426,0.007426,0.007426
28,1004.89,1.10804,0.54146,1.08751,0.9857,0.91526,0.96189,0.67921,1.10641,0.47721,1.09063,0.007327,0.007327,0.007327
29,1039.33,1.09721,0.53233,1.08545,0.98743,0.93026,0.96513,0.68166,1.09783,0.47022,1.08091,0.007228,0.007228,0.007228
30,1073.99,1.10561,0.53616,1.08489,0.9801,0.92392,0.96447,0.68057,1.10163,0.46623,1.08349,0.007129,0.007129,0.007129
31,1108.56,1.08807,0.52635,1.07429,0.98144,0.93075,0.96465,0.68519,1.09343,0.46267,1.07414,0.00703,0.00703,0.00703
32,1143.19,1.08985,0.52271,1.07401,0.98011,0.93303,0.96762,0.68975,1.09504,0.46387,1.09013,0.006931,0.006931,0.006931
33,1177.73,1.09691,0.52522,1.0875,0.98103,0.93303,0.96273,0.67595,1.10504,0.46232,1.0808,0.006832,0.006832,0.006832
34,1212.08,1.08625,0.51789,1.07666,0.98015,0.93349,0.96476,0.68602,1.09485,0.45687,1.08034,0.006733,0.006733,0.006733
35,1246.09,1.08394,0.51884,1.07871,0.98134,0.9346,0.96829,0.69182,1.08386,0.45256,1.07211,0.006634,0.006634,0.006634
36,1280.8,1.09439,0.5195,1.08201,0.98516,0.93743,0.96968,0.68599,1.08362,0.44274,1.06766,0.006535,0.006535,0.006535
37,1315.62,1.08726,0.51633,1.0786,0.98611,0.93818,0.97086,0.69318,1.08392,0.44397,1.0681,0.006436,0.006436,0.006436
38,1350.57,1.07581,0.50885,1.06978,0.98741,0.92847,0.96689,0.68845,1.0929,0.44781,1.07644,0.006337,0.006337,0.006337
39,1384.9,1.08718,0.51074,1.0766,0.9785,0.93283,0.96797,0.69219,1.083,0.44317,1.07399,0.006238,0.006238,0.006238
40,1419.36,1.07057,0.50733,1.06719,0.98197,0.94305,0.97021,0.69052,1.0922,0.45374,1.07727,0.006139,0.006139,0.006139
41,1453.95,1.07962,0.50436,1.06587,0.98142,0.93759,0.96441,0.68793,1.07695,0.44288,1.06475,0.00604,0.00604,0.00604
42,1488.31,1.06846,0.50114,1.06399,0.98662,0.93212,0.96722,0.68758,1.08339,0.44606,1.07236,0.005941,0.005941,0.005941
43,1522.91,1.0656,0.50485,1.05859,0.97771,0.9391,0.97041,0.69345,1.07827,0.44119,1.06416,0.005842,0.005842,0.005842
44,1557.27,1.06132,0.4934,1.06354,0.98143,0.93576,0.96788,0.69179,1.07613,0.43065,1.07145,0.005743,0.005743,0.005743
45,1591.52,1.06582,0.49299,1.06792,0.98287,0.94077,0.97109,0.6913,1.08194,0.43205,1.06751,0.005644,0.005644,0.005644
46,1625.94,1.05581,0.48777,1.06211,0.98255,0.93986,0.97184,0.69188,1.07553,0.42739,1.07266,0.005545,0.005545,0.005545
47,1660.29,1.0582,0.48897,1.05728,0.97122,0.94852,0.97066,0.69509,1.07016,0.42603,1.06176,0.005446,0.005446,0.005446
48,1694.75,1.05114,0.48139,1.06079,0.97177,0.94396,0.96818,0.69463,1.065,0.42121,1.05274,0.005347,0.005347,0.005347
49,1729,1.05176,0.48276,1.05311,0.97504,0.94318,0.96909,0.70005,1.06793,0.42603,1.05368,0.005248,0.005248,0.005248
50,1763.11,1.04777,0.48082,1.05298,0.97855,0.93895,0.96877,0.69546,1.06373,0.4223,1.05791,0.005149,0.005149,0.005149
51,1797.08,1.03949,0.47642,1.0496,0.97402,0.94579,0.96877,0.69586,1.06125,0.41009,1.05327,0.00505,0.00505,0.00505
52,1831.78,1.04855,0.47402,1.05195,0.98411,0.93667,0.96808,0.69739,1.06366,0.41373,1.05239,0.004951,0.004951,0.004951
53,1866.21,1.04854,0.47372,1.05276,0.98009,0.94183,0.97275,0.70269,1.06912,0.41082,1.05307,0.004852,0.004852,0.004852
54,1900.38,1.0446,0.47453,1.04657,0.97956,0.94077,0.97186,0.70312,1.06191,0.41182,1.05422,0.004753,0.004753,0.004753
55,1934.8,1.03606,0.46783,1.05051,0.98269,0.94305,0.96937,0.70194,1.06058,0.41346,1.05483,0.004654,0.004654,0.004654
56,1969.22,1.03027,0.46277,1.04842,0.98364,0.94487,0.96961,0.70034,1.06055,0.40736,1.05117,0.004555,0.004555,0.004555
57,2003.85,1.03244,0.46409,1.04685,0.98244,0.94298,0.96958,0.70106,1.06471,0.4016,1.05595,0.004456,0.004456,0.004456
58,2038.52,1.03189,0.46909,1.04279,0.98093,0.94487,0.97262,0.70587,1.05484,0.40162,1.04922,0.004357,0.004357,0.004357
59,2073.57,1.02836,0.46697,1.04341,0.97856,0.94579,0.97104,0.70289,1.05264,0.40477,1.04725,0.004258,0.004258,0.004258
60,2108.24,1.03204,0.46099,1.04366,0.98526,0.94403,0.97223,0.70509,1.06035,0.4044,1.05341,0.004159,0.004159,0.004159
61,2142.67,1.02128,0.45435,1.04143,0.98343,0.94123,0.9723,0.70789,1.05298,0.39702,1.04971,0.00406,0.00406,0.00406
62,2177.14,1.01913,0.45982,1.0402,0.98086,0.94487,0.96988,0.70354,1.05729,0.4001,1.0529,0.003961,0.003961,0.003961
63,2211.85,1.01832,0.45084,1.04228,0.98144,0.93945,0.97012,0.70341,1.05606,0.40098,1.05149,0.003862,0.003862,0.003862
64,2246.61,1.02113,0.453,1.04093,0.98196,0.93941,0.96824,0.70503,1.05346,0.39976,1.05132,0.003763,0.003763,0.003763
65,2281.04,1.01462,0.44673,1.0372,0.98244,0.94322,0.97138,0.70876,1.04636,0.3961,1.04428,0.003664,0.003664,0.003664
66,2315.71,1.00652,0.44578,1.03065,0.97878,0.94581,0.97053,0.70708,1.05309,0.39396,1.0489,0.003565,0.003565,0.003565
67,2350.41,1.0025,0.43944,1.03471,0.97749,0.94624,0.97067,0.70932,1.05532,0.39306,1.0483,0.003466,0.003466,0.003466
68,2385.06,1.00392,0.43825,1.03256,0.9821,0.95003,0.97221,0.70967,1.05056,0.39025,1.04514,0.003367,0.003367,0.003367
69,2419.84,0.99262,0.43387,1.02696,0.98333,0.9467,0.97081,0.71119,1.05087,0.38891,1.04628,0.003268,0.003268,0.003268
70,2454.63,1.00026,0.43668,1.03313,0.98206,0.94776,0.97163,0.71157,1.05468,0.38686,1.0496,0.003169,0.003169,0.003169
71,2489.25,0.98892,0.43419,1.02993,0.98212,0.94852,0.97309,0.71289,1.04746,0.38502,1.04293,0.00307,0.00307,0.00307
72,2523.67,0.9977,0.43391,1.02885,0.98039,0.94715,0.97209,0.71001,1.04883,0.3882,1.04483,0.002971,0.002971,0.002971
73,2558.13,0.9806,0.42838,1.02569,0.9846,0.94305,0.97122,0.70913,1.04598,0.38712,1.04528,0.002872,0.002872,0.002872
74,2592.79,0.985,0.42771,1.02877,0.98532,0.94807,0.97114,0.71269,1.0454,0.38565,1.0473,0.002773,0.002773,0.002773
75,2627.38,0.98014,0.42703,1.02278,0.98343,0.9467,0.97056,0.71215,1.04988,0.38313,1.04555,0.002674,0.002674,0.002674
76,2662.19,0.97622,0.42422,1.02643,0.98067,0.94766,0.97138,0.71018,1.05318,0.38318,1.05246,0.002575,0.002575,0.002575
77,2696.41,0.97866,0.41859,1.02506,0.98483,0.94675,0.97195,0.71006,1.05271,0.37975,1.04773,0.002476,0.002476,0.002476
78,2730.6,0.98401,0.41966,1.01947,0.98167,0.94943,0.97387,0.71262,1.04786,0.38145,1.04356,0.002377,0.002377,0.002377
79,2765,0.96736,0.41774,1.01604,0.98411,0.94715,0.97375,0.71193,1.05025,0.38063,1.04325,0.002278,0.002278,0.002278
80,2799.81,0.96859,0.4123,1.01729,0.9848,0.94475,0.97232,0.71195,1.05246,0.38294,1.04363,0.002179,0.002179,0.002179
81,2834.07,0.96976,0.4089,1.01818,0.98341,0.94516,0.97338,0.71202,1.05173,0.38136,1.04341,0.00208,0.00208,0.00208
82,2868.03,0.97036,0.41275,1.01524,0.98282,0.94715,0.97403,0.7159,1.04852,0.38084,1.04284,0.001981,0.001981,0.001981
83,2902.42,0.96906,0.41266,1.01571,0.98301,0.94989,0.9752,0.7144,1.04999,0.37887,1.04238,0.001882,0.001882,0.001882
84,2936.58,0.9624,0.40809,1.0134,0.98309,0.94806,0.97371,0.71364,1.05182,0.38062,1.04291,0.001783,0.001783,0.001783
85,2971,0.95489,0.40598,1.01403,0.98824,0.94214,0.97299,0.71508,1.05079,0.37827,1.044,0.001684,0.001684,0.001684
86,3005.38,0.95219,0.40217,1.01071,0.98551,0.94579,0.97243,0.71347,1.05063,0.37906,1.04345,0.001585,0.001585,0.001585
87,3039.68,0.95463,0.39983,1.01416,0.98762,0.94459,0.97237,0.71432,1.05253,0.37894,1.04145,0.001486,0.001486,0.001486
88,3074.27,0.94183,0.39366,1.0082,0.98538,0.94533,0.97291,0.71412,1.05216,0.37776,1.04271,0.001387,0.001387,0.001387
89,3108.63,0.94996,0.39749,1.00713,0.98436,0.94632,0.97174,0.71453,1.05067,0.3775,1.04164,0.001288,0.001288,0.001288
90,3142.99,0.94172,0.39246,1.00699,0.98482,0.94549,0.9721,0.71649,1.04786,0.37827,1.0402,0.001189,0.001189,0.001189
91,3178.66,0.93966,0.36059,1.01123,0.98256,0.94761,0.9732,0.71407,1.04881,0.37898,1.04114,0.00109,0.00109,0.00109
92,3212.94,0.91936,0.35238,1.00622,0.98251,0.94943,0.97365,0.71419,1.0513,0.38013,1.04149,0.000991,0.000991,0.000991
93,3248.43,0.91684,0.34998,1.00217,0.98472,0.94579,0.97296,0.71438,1.05105,0.37985,1.04238,0.000892,0.000892,0.000892
94,3284.02,0.91761,0.34995,1.00082,0.98389,0.9463,0.97239,0.71507,1.05015,0.38032,1.04327,0.000793,0.000793,0.000793
95,3319.64,0.90586,0.34483,0.99713,0.98808,0.94398,0.97206,0.71406,1.04996,0.38134,1.0434,0.000694,0.000694,0.000694
96,3354.93,0.90364,0.34358,0.99487,0.98715,0.94476,0.97211,0.71445,1.05035,0.38139,1.04333,0.000595,0.000595,0.000595
97,3390.16,0.90364,0.34143,0.99816,0.98652,0.94487,0.97246,0.71448,1.05046,0.38173,1.04263,0.000496,0.000496,0.000496
98,3425.39,0.89585,0.33826,0.99614,0.98508,0.9467,0.97286,0.71499,1.05072,0.38219,1.04307,0.000397,0.000397,0.000397
99,3460.25,0.89185,0.33464,0.99264,0.98761,0.94408,0.97384,0.71472,1.05206,0.38266,1.04447,0.000298,0.000298,0.000298
100,3495.75,0.8902,0.33209,0.99084,0.98622,0.94536,0.97232,0.71338,1.0524,0.38368,1.04476,0.000199,0.000199,0.000199
