epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2391,0.98063,2.61567,1.18577,0.70461,0.39895,0.44234,0.27675,1.33905,1.97044,1.29118,0.00332834,0.00332834,0.00332834
2,112.333,0.88702,1.62057,1.09965,0.817,0.4191,0.54776,0.33322,1.40504,1.48863,1.36649,0.00659572,0.00659572,0.00659572
3,166.57,0.94139,1.44407,1.1324,0.63224,0.37072,0.4065,0.20028,1.71023,2.32263,1.61509,0.0097971,0.0097971,0.0097971
4,219.119,0.97735,1.33676,1.14804,0.65133,0.36563,0.43782,0.23974,1.6568,1.74865,1.56038,0.009703,0.009703,0.009703
5,268.737,0.90219,1.13013,1.09788,0.7383,0.38483,0.48685,0.26031,1.54073,1.56183,1.49382,0.009604,0.009604,0.009604
6,318.179,0.857,1.01857,1.07674,0.6893,0.68535,0.71143,0.41404,1.38021,1.15769,1.33617,0.009505,0.009505,0.009505
7,366.95,0.84299,0.93499,1.06262,0.67813,0.63668,0.66082,0.39142,1.40268,1.25827,1.36868,0.009406,0.009406,0.009406
8,416.351,0.81223,0.8791,1.04738,0.73302,0.69256,0.74126,0.47027,1.28391,1.02402,1.27753,0.009307,0.009307,0.009307
9,465.74,0.79622,0.84218,1.04124,0.76406,0.726,0.7454,0.46271,1.30391,1.0059,1.27351,0.009208,0.009208,0.009208
10,515.262,0.78165,0.80782,1.03548,0.72265,0.56922,0.64715,0.39363,1.33218,1.22642,1.3155,0.009109,0.009109,0.009109
11,564.877,0.76504,0.77487,1.02448,0.81534,0.66436,0.78251,0.47164,1.33952,1.01552,1.28993,0.00901,0.00901,0.00901
12,613.826,0.75245,0.74382,1.01751,0.85417,0.67755,0.78861,0.51039,1.23251,0.9019,1.24701,0.008911,0.008911,0.008911
13,663.344,0.74104,0.72725,1.01432,0.81127,0.72438,0.80094,0.5317,1.23721,0.89991,1.22906,0.008812,0.008812,0.008812
14,713,0.73445,0.71563,1.01032,0.80926,0.71662,0.79285,0.52278,1.21457,0.93079,1.23481,0.008713,0.008713,0.008713
15,762.175,0.73001,0.70071,1.00679,0.86908,0.77209,0.85512,0.55896,1.17462,0.7819,1.1714,0.008614,0.008614,0.008614
16,812.16,0.72001,0.67988,1.00203,0.85084,0.69326,0.8152,0.55349,1.17841,0.87795,1.18236,0.008515,0.008515,0.008515
17,861.683,0.7111,0.66812,0.99771,0.85831,0.75843,0.85414,0.55783,1.15997,0.81467,1.17146,0.008416,0.008416,0.008416
18,911.432,0.7115,0.65771,1.00033,0.89025,0.74961,0.86989,0.5837,1.15675,0.78375,1.1764,0.008317,0.008317,0.008317
19,960.665,0.69252,0.63903,0.99052,0.89948,0.75301,0.8774,0.58961,1.12112,0.71341,1.14342,0.008218,0.008218,0.008218
20,1010.29,0.69357,0.62648,0.99148,0.898,0.79442,0.88587,0.59302,1.12683,0.73775,1.15872,0.008119,0.008119,0.008119
21,1059.55,0.68607,0.61539,0.98682,0.87129,0.80369,0.88027,0.60001,1.11905,0.73636,1.1534,0.00802,0.00802,0.00802
22,1108.95,0.68085,0.60926,0.98506,0.87844,0.79085,0.87364,0.59554,1.09221,0.69889,1.13225,0.007921,0.007921,0.007921
23,1158.18,0.67885,0.59457,0.98455,0.9385,0.79483,0.89079,0.61032,1.10752,0.68251,1.1434,0.007822,0.007822,0.007822
24,1207.75,0.67129,0.59298,0.97894,0.89005,0.81711,0.91181,0.61657,1.09875,0.68207,1.14122,0.007723,0.007723,0.007723
25,1257.34,0.67016,0.58325,0.98048,0.92991,0.81552,0.92681,0.65003,1.07999,0.66231,1.1257,0.007624,0.007624,0.007624
26,1306.78,0.65899,0.57258,0.9748,0.8528,0.86265,0.90867,0.63363,1.06748,0.67895,1.11246,0.007525,0.007525,0.007525
27,1356.14,0.65769,0.56103,0.97118,0.89269,0.85173,0.91909,0.63675,1.08425,0.68075,1.12963,0.007426,0.007426,0.007426
28,1405.82,0.6583,0.55157,0.96928,0.90009,0.83638,0.91598,0.64074,1.07607,0.64804,1.12117,0.007327,0.007327,0.007327
29,1455.39,0.65748,0.55695,0.97403,0.92816,0.79814,0.9192,0.63824,1.07817,0.67025,1.11889,0.007228,0.007228,0.007228
30,1504.72,0.65367,0.54771,0.97196,0.92233,0.87403,0.94065,0.64738,1.06639,0.61618,1.1145,0.007129,0.007129,0.007129
31,1553.97,0.65441,0.54784,0.9704,0.89118,0.85135,0.92568,0.63874,1.04036,0.62654,1.09984,0.00703,0.00703,0.00703
32,1603.39,0.64263,0.54308,0.96459,0.88728,0.81505,0.91149,0.63617,1.04722,0.629,1.09921,0.006931,0.006931,0.006931
33,1652.61,0.63738,0.52811,0.9638,0.88922,0.87802,0.93806,0.6618,1.04233,0.61066,1.10524,0.006832,0.006832,0.006832
34,1702.21,0.64508,0.52207,0.96425,0.9315,0.86892,0.93716,0.65472,1.03658,0.59194,1.09014,0.006733,0.006733,0.006733
35,1751.24,0.6346,0.52363,0.96409,0.91086,0.87917,0.94397,0.66928,1.02922,0.60424,1.08956,0.006634,0.006634,0.006634
36,1800.53,0.63165,0.51099,0.95961,0.91378,0.89028,0.94012,0.66416,1.02962,0.59096,1.09237,0.006535,0.006535,0.006535
37,1850.03,0.63069,0.514,0.95994,0.92249,0.87669,0.94694,0.66988,1.03957,0.58726,1.09783,0.006436,0.006436,0.006436
38,1899.33,0.62776,0.50728,0.95541,0.93402,0.89264,0.9481,0.68321,1.02009,0.56764,1.08645,0.006337,0.006337,0.006337
39,1948.48,0.62452,0.49777,0.95655,0.91755,0.89037,0.94109,0.67337,1.00888,0.57047,1.07726,0.006238,0.006238,0.006238
40,1997.58,0.62352,0.49862,0.95415,0.91997,0.88215,0.94115,0.67308,1.0205,0.57708,1.08458,0.006139,0.006139,0.006139
